TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
B,B,C,C,C,B,B,B,B,A,B,A,B,B,D,F,A,A,C,A,A,B,G,A,A,A,A,A,A,A,A,B,A,B,B,C,B,B,C,B,B,B,A,A,A,A,A,B,A,B,B,'ABAIXO DA MÉDIA'
A,B,I,D,E,A,B,B,B,A,B,A,A,B,C,D,A,A,G,A,A,B,G,A,A,A,A,A,A,A,B,C,C,B,A,B,C,C,C,D,A,B,A,A,A,A,B,A,B,A,C,'ABAIXO DA MÉDIA'
A,B,B,E,C,C,C,B,B,A,B,A,A,B,B,D,A,A,C,A,A,B,B,B,B,B,A,A,A,A,A,C,A,C,B,B,C,C,C,D,D,B,A,C,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
B,A,A,C,D,A,A,B,B,A,B,A,B,B,C,E,B,A,E,A,A,C,G,A,B,B,A,A,A,A,A,B,A,C,B,A,C,B,C,B,A,B,A,C,B,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
B,B,B,C,D,C,C,C,C,A,A,A,A,D,D,F,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,B,A,B,A,A,B,C,B,B,E,B,B,A,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
B,B,C,C,B,C,B,B,B,A,A,A,A,B,D,F,A,A,A,B,B,B,G,A,B,A,A,A,A,A,A,C,B,C,B,C,B,B,C,A,A,B,A,A,A,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
A,B,J,D,C,C,B,B,A,B,B,A,B,B,C,E,A,A,C,A,A,C,G,A,B,B,A,A,A,A,A,C,B,C,C,A,C,B,B,C,A,B,B,A,A,B,A,B,A,A,B,'ABAIXO DA MÉDIA'
A,B,E,E,D,B,B,B,C,C,B,B,B,B,C,F,A,A,G,A,A,A,G,A,A,B,A,A,A,A,A,C,A,C,C,B,C,A,B,A,E,B,A,A,B,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
A,B,F,C,B,A,B,B,A,A,A,A,A,C,D,E,A,A,B,A,B,B,G,A,B,A,A,A,A,A,A,C,C,C,B,C,C,C,C,B,E,B,A,A,A,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
B,B,K,E,D,B,D,B,B,A,C,B,C,B,D,E,A,A,C,A,A,C,C,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,D,D,A,A,C,C,A,A,A,A,A,A,'ABAIXO DA MÉDIA'
A,B,E,E,B,A,B,B,B,A,A,B,A,C,D,E,A,A,G,A,A,B,G,A,A,C,A,A,A,A,B,C,B,C,A,B,C,B,B,C,D,A,D,C,C,A,B,A,A,A,B,'ABAIXO DA MÉDIA'
A,B,E,D,D,B,B,B,B,A,B,B,B,C,D,F,A,A,E,A,A,B,G,A,A,B,A,A,A,A,B,B,B,B,C,A,B,B,B,D,E,B,C,A,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
B,A,L,C,B,B,C,B,B,A,A,A,B,B,C,D,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,B,A,B,A,A,B,B,A,B,A,B,B,A,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
B,B,C,C,C,B,B,B,B,A,B,A,B,B,C,E,A,C,E,A,A,A,D,A,A,A,A,A,A,A,A,C,B,A,C,C,C,C,C,E,A,B,B,C,A,A,B,A,A,A,B,'ABAIXO DA MÉDIA'
B,A,I,D,C,B,C,C,C,B,B,B,C,B,C,F,A,A,G,A,A,C,D,A,A,A,A,A,A,A,A,C,A,B,B,B,C,A,B,D,D,B,A,C,A,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
B,B,J,D,E,B,B,B,A,A,B,A,A,B,D,F,A,A,G,A,A,B,G,A,A,B,A,A,A,A,A,C,A,B,A,C,B,A,A,A,A,B,A,A,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
A,A,K,C,B,A,B,B,A,A,A,B,B,C,E,F,A,A,G,A,B,A,G,A,B,B,A,A,A,A,A,C,A,B,C,A,C,A,B,A,E,B,C,A,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
A,B,F,D,D,C,A,B,C,B,B,B,A,C,D,E,B,C,G,A,A,A,G,A,B,B,A,A,A,A,A,C,B,C,B,C,C,B,C,C,A,A,B,C,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
A,B,I,E,C,C,C,B,A,A,B,A,B,B,C,C,A,A,C,A,A,B,A,B,B,A,A,A,A,A,A,C,A,C,B,A,C,A,A,C,E,B,B,C,A,A,B,A,B,A,C,'ABAIXO DA MÉDIA'
B,F,D,D,C,B,D,B,B,A,B,A,A,C,D,D,A,A,G,A,A,C,G,A,A,A,A,B,A,A,B,C,A,C,A,A,B,B,A,B,E,B,B,A,A,A,A,A,B,A,B,'ABAIXO DA MÉDIA'
B,F,C,C,B,A,B,C,B,A,B,A,A,C,C,F,A,A,G,A,A,A,G,A,A,A,A,A,A,A,B,A,B,C,B,A,C,B,A,A,A,B,A,A,A,A,B,A,A,A,B,'ABAIXO DA MÉDIA'
A,A,I,G,B,B,B,B,A,B,A,B,A,B,C,D,A,A,B,A,A,B,B,A,A,C,A,A,A,A,A,B,B,C,C,C,C,B,C,E,E,B,B,A,B,A,B,A,B,B,A,'ABAIXO DA MÉDIA'
A,B,K,C,C,B,B,B,A,A,B,A,A,B,C,D,A,A,C,A,A,A,A,A,A,B,A,A,A,A,A,C,B,C,B,B,C,C,B,A,B,A,A,A,A,A,B,A,B,A,A,'ABAIXO DA MÉDIA'
B,B,B,C,C,A,B,B,A,B,A,A,A,B,C,E,A,A,B,A,A,C,G,A,A,C,A,A,A,A,A,C,B,C,B,B,C,C,C,B,A,B,B,A,A,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
A,B,K,C,B,B,B,B,A,A,A,A,A,C,C,D,A,A,G,A,A,A,G,B,B,C,A,A,A,A,A,B,A,C,A,B,C,C,B,C,A,B,B,A,A,A,B,A,A,A,B,'ABAIXO DA MÉDIA'
